"member_casual","start_day_of_week","total_rides","avg_duration"
"member","Monday",534344,11.6607639262383
"member","Tuesday",570386,11.679556241008
"member","Wednesday",609953,11.8850854822165
"member","Thursday",570300,11.6878410952716
"member","Friday",525583,11.9074198351186
"member","Saturday",479440,13.5358875390424
"member","Sunday",416996,13.5524877215096
"casual","Monday",252900,20.2675208684536
"casual","Tuesday",231816,17.9905304909182
"casual","Wednesday",268632,18.5082219948296
"casual","Thursday",264401,18.161101986692
"casual","Friday",314918,20.2122997149018
"casual","Saturday",444005,23.7582888550067
"casual","Sunday",368570,24.1681614678779
