"member_casual","duration_bucket","start_day_of_week","start_hour","total_rides","avg_duration"
"member","<5 min","Monday",0,889,3.03762830891411
"member","<5 min","Monday",1,566,3.00433551231739
"member","<5 min","Monday",2,278,3.04192086320987
"member","<5 min","Monday",3,247,3.15738299604048
"member","<5 min","Monday",4,439,3.20214996204832
"member","<5 min","Monday",5,1756,3.29325148064527
"member","<5 min","Monday",6,4862,3.29140623889881
"member","<5 min","Monday",7,7487,3.31989593961976
"member","<5 min","Monday",8,8863,3.29995374220061
"member","<5 min","Monday",9,6094,3.24184811562903
"member","<5 min","Monday",10,4826,3.20037308328388
"member","<5 min","Monday",11,6345,3.19936531914793
"member","<5 min","Monday",12,7511,3.22158663737834
"member","<5 min","Monday",13,7107,3.18718926411823
"member","<5 min","Monday",14,6644,3.24298498147275
"member","<5 min","Monday",15,7611,3.26815509133399
"member","<5 min","Monday",16,10172,3.28878641039512
"member","<5 min","Monday",17,12154,3.30229252235959
"member","<5 min","Monday",18,10274,3.25631376450673
"member","<5 min","Monday",19,7400,3.23781821168597
"member","<5 min","Monday",20,5106,3.24023909454153
"member","<5 min","Monday",21,3731,3.2205980970107
"member","<5 min","Monday",22,2239,3.1817204332483
"member","<5 min","Monday",23,1317,3.08016981775626
"member","<5 min","Tuesday",0,707,3.02231152757391
"member","<5 min","Tuesday",1,379,3.16382713275933
"member","<5 min","Tuesday",2,199,2.95873207678547
"member","<5 min","Tuesday",3,165,3.05730828273176
"member","<5 min","Tuesday",4,363,3.20995913684861
"member","<5 min","Tuesday",5,1986,3.26546748911586
"member","<5 min","Tuesday",6,5433,3.31431990309547
"member","<5 min","Tuesday",7,9021,3.29036989619135
"member","<5 min","Tuesday",8,10463,3.29989741309633
"member","<5 min","Tuesday",9,6402,3.2661658231683
"member","<5 min","Tuesday",10,4667,3.21725494961476
"member","<5 min","Tuesday",11,5761,3.20808541635352
"member","<5 min","Tuesday",12,7089,3.22500093570015
"member","<5 min","Tuesday",13,6630,3.2222652789814
"member","<5 min","Tuesday",14,6040,3.22503224342206
"member","<5 min","Tuesday",15,7551,3.27498776982995
"member","<5 min","Tuesday",16,10606,3.26037775790776
"member","<5 min","Tuesday",17,12308,3.29256229960361
"member","<5 min","Tuesday",18,9954,3.24699254905568
"member","<5 min","Tuesday",19,7116,3.2422132892836
"member","<5 min","Tuesday",20,4906,3.18519884495409
"member","<5 min","Tuesday",21,3676,3.19799796879659
"member","<5 min","Tuesday",22,2550,3.12788516338355
"member","<5 min","Tuesday",23,1561,3.06907687386004
"member","<5 min","Wednesday",0,808,3.02330651820788
"member","<5 min","Wednesday",1,418,2.93678628387824
"member","<5 min","Wednesday",2,226,2.97930287604487
"member","<5 min","Wednesday",3,222,2.99893633633763
"member","<5 min","Wednesday",4,385,3.10113428569975
"member","<5 min","Wednesday",5,1854,3.27244169368713
"member","<5 min","Wednesday",6,5260,3.30303891949781
"member","<5 min","Wednesday",7,8674,3.29104498307927
"member","<5 min","Wednesday",8,10442,3.26509698971527
"member","<5 min","Wednesday",9,6683,3.22561021992747
"member","<5 min","Wednesday",10,4924,3.22680476918603
"member","<5 min","Wednesday",11,6147,3.22609986984499
"member","<5 min","Wednesday",12,7607,3.20436177646125
"member","<5 min","Wednesday",13,7045,3.26094432458828
"member","<5 min","Wednesday",14,6796,3.22735164803642
"member","<5 min","Wednesday",15,7843,3.242962824589
"member","<5 min","Wednesday",16,10892,3.20772187384898
"member","<5 min","Wednesday",17,12321,3.22350753049161
"member","<5 min","Wednesday",18,9991,3.22149787642865
"member","<5 min","Wednesday",19,7397,3.20178152626124
"member","<5 min","Wednesday",20,5285,3.19622035641206
"member","<5 min","Wednesday",21,3938,3.14839602590959
"member","<5 min","Wednesday",22,2785,3.09686681032038
"member","<5 min","Wednesday",23,1666,3.14806221491005
"member","<5 min","Thursday",0,944,3.13361101688049
"member","<5 min","Thursday",1,463,3.08001490285536
"member","<5 min","Thursday",2,292,2.99424149530119
"member","<5 min","Thursday",3,175,2.99987076205299
"member","<5 min","Thursday",4,347,3.14542022083495
"member","<5 min","Thursday",5,1669,3.26544656481885
"member","<5 min","Thursday",6,4744,3.32230314080252
