"member_casual","start_hour","total_rides","avg_duration"
"member",0,32743,11.2190424329894
"member",1,20060,11.416561717347
"member",2,11383,11.501142629336
"member",3,7819,11.4739945858703
"member",4,8711,11.9439004209095
"member",5,34593,10.716931687539
"member",6,104009,10.6090440043677
"member",7,200308,11.3343857867172
"member",8,255232,11.2939783010548
"member",9,173796,11.3483856117693
"member",10,153199,12.3327056402716
"member",11,178917,12.3110477495287
"member",12,204666,11.978898960265
"member",13,204556,12.0735382595302
"member",14,204906,12.4755363295892
"member",15,251089,12.5773618179908
"member",16,342922,12.787306943124
"member",17,393034,13.0614150328418
"member",18,306560,12.6369991216498
"member",19,215048,12.4029354457249
"member",20,150770,12.2063957068215
"member",21,115813,12.0252942332413
"member",22,83935,12.2865016411469
"member",23,52933,11.9882278232238
"casual",0,35260,17.5707593784225
"casual",1,23577,17.8278071312329
"casual",2,14638,17.1168741016354
"casual",3,8136,18.1506497787691
"casual",4,6402,15.6300430776737
"casual",5,12105,13.4940005341942
"casual",6,28710,13.6629374799714
"casual",7,53421,14.4891850096313
"casual",8,75633,15.5461611265414
"casual",9,76438,21.3052404772451
"casual",10,94210,25.4251366130624
"casual",11,120004,25.5605039720863
"casual",12,142007,24.4538375744364
"casual",13,148138,24.4865532136711
"casual",14,154308,23.9450302018276
"casual",15,169664,22.5265997607932
"casual",16,190936,20.9131217957847
"casual",17,203453,19.9762051237904
"casual",18,173471,19.6410478548717
"casual",19,127888,19.192617716027
"casual",20,93546,18.7583849843889
"casual",21,77823,17.8393581948907
"casual",22,67926,17.9841025925316
"casual",23,47548,18.0082509512973
