"member_casual","start_month","total_rides","avg_duration"
"member","January",120126,11.2929808423378
"member","February",175837,11.7153538978334
"member","March",218966,11.1905799682751
"member","April",282982,11.7958904924459
"member","May",378247,12.9369702800022
"member","June",409400,13.2416562847311
"member","July",428278,13.218576219728
"member","August",437259,12.8969206136426
"member","September",474282,11.9122258053979
"member","October",399755,11.6731675087702
"member","November",241910,10.7914497059533
"member","December",139960,10.433343161269
"casual","January",24320,13.6614274945175
"casual","February",46930,18.0962813410043
"casual","March",82200,19.580654298459
"casual","April",131337,21.4433668095561
"casual","May",230326,23.4504624052432
"casual","June",300153,22.7239639266199
"casual","July",319560,23.2456978700902
"casual","August",317542,21.8266535839308
"casual","September",345854,18.6368457445938
"casual","October",215933,19.7241981448681
"casual","November",92824,15.988478461914
"casual","December",38263,13.4374640009121
