"member_casual","station_name","total_rides"
"member","Not Specified",648294
"member","Kingsbury St & Kinzie St",29700
"member","Clinton St & Washington Blvd",28447
"member","Clinton St & Madison St",26000
"member","Clark St & Elm St",24731
"member","Wells St & Concord Ln",20821
"member","Clinton St & Jackson Blvd",20442
"member","Wells St & Elm St",20306
"member","State St & Chicago Ave",19750
"member","University Ave & 57th St",19345
"member","Canal St & Madison St",19290
"member","Dearborn St & Erie St",18232
"member","Larrabee St & Kingsbury St",17421
"member","Canal St & Adams St",17411
"member","Broadway & Barry Ave",17003
"member","Daley Center Plaza",16953
"member","Wilton Ave & Belmont Ave",16690
"member","Ellis Ave & 60th St",16601
"member","Wells St & Hubbard St",16506
"member","DuSable Lake Shore Dr & North Blvd",16494
"casual","Not Specified",448450
"casual","Streeter Dr & Grand Ave",54734
"casual","DuSable Lake Shore Dr & Monroe St",31917
"casual","DuSable Lake Shore Dr & North Blvd",26589
"casual","Michigan Ave & Oak St",25782
"casual","Millennium Park",24258
"casual","Shedd Aquarium",18972
"casual","Theater on the Lake",18140
"casual","Dusable Harbor",16727
"casual","Michigan Ave & 8th St",12378
"casual","Wabash Ave & Grand Ave",11436
"casual","Indiana Ave & Roosevelt Rd",11420
"casual","Michigan Ave & Washington St",11411
"casual","Wells St & Concord Ln",11363
"casual","Clark St & Lincoln Ave",11216
"casual","Adler Planetarium",11064
"casual","Clark St & Armitage Ave",10918
"casual","Montrose Harbor",10817
"casual","Clark St & Elm St",10183
"casual","Wells St & Elm St",9929
