station_name,category
Not Specified,Unknown
Kingsbury St & Kinzie St,Mixed-use
Clinton St & Washington Blvd,Mixed-use
Clinton St & Madison St,Mixed-use
Clark St & Elm St,Mixed-use
Wells St & Concord Ln,Mixed-use
Wells St & Elm St,Mixed-use
Clinton St & Jackson Blvd,Mixed-use
State St & Chicago Ave,Mixed-use
Canal St & Madison St,Mixed-use
Dearborn St & Erie St,Mixed-use
University Ave & 57th St,Mixed-use
Larrabee St & Kingsbury St,Mixed-use
Canal St & Adams St,Mixed-use
DuSable Lake Shore Dr & North Blvd,Mixed-use
Broadway & Barry Ave,Mixed-use
Daley Center Plaza,Commercial / Business / Office
Wilton Ave & Belmont Ave,Mixed-use
Wells St & Hubbard St,Mixed-use
Wells St & Huron St,Mixed-use
Not Specified,Unknown
Streeter Dr & Grand Ave,Mixed-use
DuSable Lake Shore Dr & Monroe St,Commercial / Business / Office
DuSable Lake Shore Dr & North Blvd,Mixed-use
Michigan Ave & Oak St,Mixed-use
Millennium Park,Commercial / Business / Office
Shedd Aquarium,Commercial / Business / Office
Theater on the Lake,Commercial / Business / Office
Dusable Harbor,Mixed-use
Michigan Ave & 8th St,Mixed-use
Indiana Ave & Roosevelt Rd,Mixed-use
Wabash Ave & Grand Ave,Mixed-use
Montrose Harbor,Commercial / Business / Office
Michigan Ave & Washington St,Mixed-use
Clark St & Lincoln Ave,Mixed-use
Wells St & Concord Ln,Mixed-use
Adler Planetarium,Commercial / Business / Office
Clark St & Armitage Ave,Mixed-use
Clark St & Elm St,Mixed-use
New St & Illinois St,Mixed-use
