"member_casual","station_name","total_rides"
"member","Not Specified",662550
"member","Kingsbury St & Kinzie St",29515
"member","Clinton St & Washington Blvd",27729
"member","Clinton St & Madison St",24886
"member","Clark St & Elm St",24703
"member","Wells St & Concord Ln",20667
"member","Wells St & Elm St",20489
"member","Clinton St & Jackson Blvd",20301
"member","Dearborn St & Erie St",19484
"member","Canal St & Madison St",19076
"member","State St & Chicago Ave",19054
"member","University Ave & 57th St",18991
"member","Larrabee St & Kingsbury St",17407
"member","Canal St & Adams St",17146
"member","Broadway & Barry Ave",16735
"member","DuSable Lake Shore Dr & North Blvd",16516
"member","Desplaines St & Kinzie St",16439
"member","Morgan St & Polk St",16295
"member","Wells St & Huron St",16241
"member","Ellis Ave & 60th St",16192
"casual","Not Specified",411017
"casual","Streeter Dr & Grand Ave",50903
"casual","DuSable Lake Shore Dr & Monroe St",33965
"casual","Michigan Ave & Oak St",25058
"casual","DuSable Lake Shore Dr & North Blvd",23033
"casual","Millennium Park",22498
"casual","Shedd Aquarium",21020
"casual","Dusable Harbor",18390
"casual","Theater on the Lake",16773
"casual","Michigan Ave & 8th St",13456
"casual","Adler Planetarium",12879
"casual","Indiana Ave & Roosevelt Rd",11946
"casual","Buckingham Fountain",11521
"casual","Wells St & Concord Ln",11406
"casual","Montrose Harbor",11268
"casual","Clark St & Elm St",10809
"casual","Wabash Ave & Grand Ave",10752
"casual","New St & Illinois St",10647
"casual","Michigan Ave & Washington St",10614
"casual","Clark St & Armitage Ave",10476
