station_name,category
Not Specified,Unknown
Kingsbury St & Kinzie St,Mixed-use
Clinton St & Washington Blvd,Mixed-use
Clark St & Elm St,Mixed-use
Clinton St & Madison St,Mixed-use
Wells St & Concord Ln,Mixed-use
Wells St & Elm St,Mixed-use
Clinton St & Jackson Blvd,Mixed-use
Dearborn St & Erie St,Mixed-use
State St & Chicago Ave,Mixed-use
Canal St & Madison St,Mixed-use
University Ave & 57th St,Mixed-use
Larrabee St & Kingsbury St,Mixed-use
Canal St & Adams St,Mixed-use
DuSable Lake Shore Dr & North Blvd,Mixed-use
Broadway & Barry Ave,Mixed-use
Desplaines St & Kinzie St,Mixed-use
Wells St & Huron St,Mixed-use
Wells St & Hubbard St,Mixed-use
Wilton Ave & Belmont Ave,Mixed-use
Not Specified,Unknown
Streeter Dr & Grand Ave,Mixed-use
DuSable Lake Shore Dr & Monroe St,Commercial / Business / Office
Michigan Ave & Oak St,Mixed-use
DuSable Lake Shore Dr & North Blvd,Mixed-use
Millennium Park,Commercial / Business / Office
Shedd Aquarium,Commercial / Business / Office
Dusable Harbor,Mixed-use
Theater on the Lake,Commercial / Business / Office
Michigan Ave & 8th St,Mixed-use
Adler Planetarium,Commercial / Business / Office
Indiana Ave & Roosevelt Rd,Mixed-use
Montrose Harbor,Commercial / Business / Office
Buckingham Fountain,Commercial / Business / Office
Wells St & Concord Ln,Mixed-use
New St & Illinois St,Mixed-use
Clark St & Elm St,Mixed-use
Wabash Ave & Grand Ave,Mixed-use
Michigan Ave & Washington St,Mixed-use
Clark St & Lincoln Ave,Mixed-use
