"member_casual","station_name","total_rides","category"
"member","Not Specified",578953,"Unknown"
"member","Not Specified",578953,"Unknown"
"member","Kingsbury St & Kinzie St",26476,"Mixed-use"
"member","Clinton St & Washington Blvd",25437,"Mixed-use"
"member","Clinton St & Madison St",23049,"Mixed-use"
"member","Clark St & Elm St",22033,"Mixed-use"
"member","Clark St & Elm St",22033,"Mixed-use"
"member","Wells St & Concord Ln",18516,"Mixed-use"
"member","Wells St & Concord Ln",18516,"Mixed-use"
"member","Wells St & Elm St",18160,"Mixed-use"
"member","Clinton St & Jackson Blvd",18108,"Mixed-use"
"member","State St & Chicago Ave",17581,"Mixed-use"
"member","Canal St & Madison St",16816,"Mixed-use"
"member","Dearborn St & Erie St",16451,"Mixed-use"
"member","University Ave & 57th St",16084,"Mixed-use"
"member","Larrabee St & Kingsbury St",15672,"Mixed-use"
"member","Canal St & Adams St",15499,"Mixed-use"
"member","DuSable Lake Shore Dr & North Blvd",15242,"Mixed-use"
"member","DuSable Lake Shore Dr & North Blvd",15242,"Mixed-use"
"member","Broadway & Barry Ave",15229,"Mixed-use"
"member","Daley Center Plaza",15077,"Commercial / Business / Office"
"member","Wilton Ave & Belmont Ave",14849,"Mixed-use"
"member","Wells St & Hubbard St",14767,"Mixed-use"
"member","Wells St & Huron St",14369,"Mixed-use"
"casual","Not Specified",408852,"Unknown"
"casual","Not Specified",408852,"Unknown"
"casual","Streeter Dr & Grand Ave",49458,"Mixed-use"
"casual","DuSable Lake Shore Dr & Monroe St",28494,"Commercial / Business / Office"
"casual","DuSable Lake Shore Dr & North Blvd",24913,"Mixed-use"
"casual","DuSable Lake Shore Dr & North Blvd",24913,"Mixed-use"
"casual","Michigan Ave & Oak St",23691,"Mixed-use"
"casual","Millennium Park",21713,"Commercial / Business / Office"
"casual","Shedd Aquarium",17027,"Commercial / Business / Office"
"casual","Theater on the Lake",16670,"Commercial / Business / Office"
"casual","Dusable Harbor",15084,"Mixed-use"
"casual","Michigan Ave & 8th St",10871,"Mixed-use"
"casual","Indiana Ave & Roosevelt Rd",10283,"Mixed-use"
"casual","Wabash Ave & Grand Ave",10267,"Mixed-use"
"casual","Montrose Harbor",10233,"Commercial / Business / Office"
"casual","Michigan Ave & Washington St",10228,"Mixed-use"
"casual","Clark St & Lincoln Ave",10117,"Mixed-use"
"casual","Wells St & Concord Ln",10067,"Mixed-use"
"casual","Wells St & Concord Ln",10067,"Mixed-use"
"casual","Adler Planetarium",10061,"Commercial / Business / Office"
"casual","Clark St & Armitage Ave",9750,"Mixed-use"
"casual","Clark St & Elm St",9158,"Mixed-use"
"casual","Clark St & Elm St",9158,"Mixed-use"
"casual","New St & Illinois St",8983,"Mixed-use"
