"member_casual","station_name","total_rides","category"
"member","Not Specified",592256,"Unknown"
"member","Not Specified",592256,"Unknown"
"member","Kingsbury St & Kinzie St",26345,"Mixed-use"
"member","Clinton St & Washington Blvd",24761,"Mixed-use"
"member","Clark St & Elm St",22073,"Mixed-use"
"member","Clark St & Elm St",22073,"Mixed-use"
"member","Clinton St & Madison St",21980,"Mixed-use"
"member","Wells St & Concord Ln",18477,"Mixed-use"
"member","Wells St & Concord Ln",18477,"Mixed-use"
"member","Wells St & Elm St",18339,"Mixed-use"
"member","Clinton St & Jackson Blvd",17981,"Mixed-use"
"member","Dearborn St & Erie St",17508,"Mixed-use"
"member","State St & Chicago Ave",17008,"Mixed-use"
"member","Canal St & Madison St",16657,"Mixed-use"
"member","University Ave & 57th St",15802,"Mixed-use"
"member","Larrabee St & Kingsbury St",15538,"Mixed-use"
"member","Canal St & Adams St",15256,"Mixed-use"
"member","DuSable Lake Shore Dr & North Blvd",15178,"Mixed-use"
"member","DuSable Lake Shore Dr & North Blvd",15178,"Mixed-use"
"member","Broadway & Barry Ave",14956,"Mixed-use"
"member","Desplaines St & Kinzie St",14774,"Mixed-use"
"member","Wells St & Huron St",14512,"Mixed-use"
"member","Wells St & Hubbard St",14445,"Mixed-use"
"member","Wilton Ave & Belmont Ave",14341,"Mixed-use"
"casual","Not Specified",374162,"Unknown"
"casual","Not Specified",374162,"Unknown"
"casual","Streeter Dr & Grand Ave",46030,"Mixed-use"
"casual","DuSable Lake Shore Dr & Monroe St",30340,"Commercial / Business / Office"
"casual","Michigan Ave & Oak St",23103,"Mixed-use"
"casual","DuSable Lake Shore Dr & North Blvd",21601,"Mixed-use"
"casual","DuSable Lake Shore Dr & North Blvd",21601,"Mixed-use"
"casual","Millennium Park",20169,"Commercial / Business / Office"
"casual","Shedd Aquarium",18791,"Commercial / Business / Office"
"casual","Dusable Harbor",16534,"Mixed-use"
"casual","Theater on the Lake",15438,"Commercial / Business / Office"
"casual","Michigan Ave & 8th St",11757,"Mixed-use"
"casual","Adler Planetarium",11638,"Commercial / Business / Office"
"casual","Indiana Ave & Roosevelt Rd",10820,"Mixed-use"
"casual","Montrose Harbor",10578,"Commercial / Business / Office"
"casual","Buckingham Fountain",10456,"Commercial / Business / Office"
"casual","Wells St & Concord Ln",10049,"Mixed-use"
"casual","Wells St & Concord Ln",10049,"Mixed-use"
"casual","New St & Illinois St",9641,"Mixed-use"
"casual","Clark St & Elm St",9635,"Mixed-use"
"casual","Clark St & Elm St",9635,"Mixed-use"
"casual","Wabash Ave & Grand Ave",9567,"Mixed-use"
"casual","Michigan Ave & Washington St",9499,"Mixed-use"
"casual","Clark St & Lincoln Ave",9408,"Mixed-use"
