"member_casual","start_month","start_day_of_week","total_rides","share"
"member","January","Monday",19739,0.164320499479709
"member","January","Tuesday",18878,0.15715296566077
"member","January","Wednesday",26432,0.220037460978148
"member","January","Thursday",22641,0.18847866805411
"member","January","Friday",13750,0.114464099895942
"member","January","Saturday",9683,0.0806077003121748
"member","January","Sunday",9002,0.0749386056191467
"member","February","Monday",25724,0.146294579639098
"member","February","Tuesday",31254,0.177744160785273
"member","February","Wednesday",29026,0.165073334963631
"member","February","Thursday",35724,0.203165431621331
"member","February","Friday",22821,0.129784971308655
"member","February","Saturday",14303,0.0813423795901886
"member","February","Sunday",16985,0.0965951420918237
"member","March","Monday",32829,0.14992807069623
"member","March","Tuesday",34705,0.158495649989724
"member","March","Wednesday",33688,0.153851072089147
"member","March","Thursday",30502,0.139300801497956
"member","March","Friday",28509,0.130198890233599
"member","March","Saturday",32613,0.148941611673098
"member","March","Sunday",26119,0.119283903820245
"member","April","Monday",49893,0.176312813626405
"member","April","Tuesday",55178,0.194989045162202
"member","April","Wednesday",36969,0.130641741465828
"member","April","Thursday",37168,0.131344971376069
"member","April","Friday",34515,0.121969750512404
"member","April","Saturday",37970,0.1341790939289
"member","April","Sunday",31287,0.110562583928193
"member","May","Monday",43087,0.113913241188228
"member","May","Tuesday",47864,0.126542655005763
"member","May","Wednesday",73210,0.193552310149004
"member","May","Thursday",61927,0.163722359112108
"member","May","Friday",64088,0.169435602415372
"member","May","Saturday",50196,0.132707987436681
"member","May","Sunday",37872,0.100125844692844
"member","June","Monday",53874,0.131592574499267
"member","June","Tuesday",57353,0.140090376160234
"member","June","Wednesday",63241,0.154472398632145
"member","June","Thursday",61318,0.149775280898876
"member","June","Friday",55131,0.134662921348315
"member","June","Saturday",57663,0.140847581827064
"member","June","Sunday",60820,0.148558866634099
"member","July","Monday",65955,0.154000438967213
"member","July","Tuesday",71256,0.166377913411382
"member","July","Wednesday",78093,0.182341843382102
"member","July","Thursday",57760,0.134865671362993
"member","July","Friday",57739,0.134816637791341
"member","July","Saturday",55818,0.13033123345117
"member","July","Sunday",41657,0.0972662616337986
"member","August","Monday",53677,0.122757907784631
"member","August","Tuesday",57844,0.13228772878317
"member","August","Wednesday",64194,0.146810014202109
"member","August","Thursday",72345,0.165451139942231
"member","August","Friday",71515,0.163552951454401
"member","August","Saturday",67823,0.155109443144681
"member","August","Sunday",49861,0.114030814688777
"member","September","Monday",77464,0.163335188839971
"member","September","Tuesday",65830,0.138804547678086
"member","September","Wednesday",76341,0.160967309346693
"member","September","Thursday",74411,0.156897845925476
"member","September","Friday",65364,0.137821972572238
"member","September","Saturday",57622,0.121497731221429
"member","September","Sunday",57232,0.120675404416106
"member","October","Thursday",20,1
"member","November","Monday",35502,0.146757058410153
"member","November","Tuesday",37767,0.156120044644703
"member","November","Wednesday",35758,0.147815303211938
"member","November","Thursday",29166,0.120565499565954
"member","November","Friday",42299,0.174854284651317
"member","November","Saturday",33271,0.13753462031334
"member","November","Sunday",28147,0.116353189202596
"member","December","Monday",27726,0.198099456987711
"member","December","Tuesday",25737,0.183888253786796
"member","December","Wednesday",19993,0.142847956559017
